nohup: ignoring input
[progress] wrote=10000 skipped=267 rows/sec=230.0
[progress] wrote=20000 skipped=527 rows/sec=447.7
[progress] wrote=30000 skipped=813 rows/sec=654.2
[progress] wrote=40000 skipped=1070 rows/sec=850.2
[progress] wrote=50000 skipped=1322 rows/sec=1036.7
[progress] wrote=60000 skipped=1577 rows/sec=1214.4
[progress] wrote=70000 skipped=1831 rows/sec=1383.6
[progress] wrote=80000 skipped=2090 rows/sec=1545.3
[progress] wrote=90000 skipped=2351 rows/sec=1699.7
[progress] wrote=100000 skipped=2609 rows/sec=1847.4
[progress] wrote=110000 skipped=2850 rows/sec=1988.7
[progress] wrote=120000 skipped=3084 rows/sec=2124.3
[progress] wrote=130000 skipped=3336 rows/sec=2255.1
[progress] wrote=140000 skipped=3593 rows/sec=2380.8
[progress] wrote=150000 skipped=3855 rows/sec=2501.6
[progress] wrote=160000 skipped=4147 rows/sec=2086.2
[progress] wrote=170000 skipped=4384 rows/sec=2183.7
[progress] wrote=180000 skipped=4626 rows/sec=2278.2
[progress] wrote=190000 skipped=4872 rows/sec=2369.9
[progress] wrote=200000 skipped=5131 rows/sec=2458.9
[progress] wrote=210000 skipped=5380 rows/sec=2545.5
[progress] wrote=220000 skipped=5647 rows/sec=2629.6
[progress] wrote=230000 skipped=5923 rows/sec=2711.5
[progress] wrote=240000 skipped=6187 rows/sec=2791.1
[progress] wrote=250000 skipped=6435 rows/sec=2868.6
[progress] wrote=260000 skipped=6685 rows/sec=2944.0
[progress] wrote=270000 skipped=6943 rows/sec=3017.4
[progress] wrote=280000 skipped=7203 rows/sec=3089.1
[progress] wrote=290000 skipped=7466 rows/sec=3158.8
[progress] wrote=300000 skipped=7717 rows/sec=3226.8
[progress] wrote=310000 skipped=7960 rows/sec=2726.5
[progress] wrote=320000 skipped=8219 rows/sec=2785.4
[progress] wrote=330000 skipped=8493 rows/sec=2842.9
[progress] wrote=340000 skipped=8756 rows/sec=2899.4
[progress] wrote=350000 skipped=9014 rows/sec=2954.6
[progress] wrote=360000 skipped=9291 rows/sec=3008.4
[progress] wrote=370000 skipped=9544 rows/sec=3061.5
[progress] wrote=380000 skipped=9804 rows/sec=3113.5
